task,Code,Product,run_n,normalized_gain_mean_pct,normalized_gain_SD_pct
classification,NZX,MgtC/SapB family protein,3,0.049106518942490074,0.027256477620464303
classification,ACJD,glycosyltransferase family 2 protein,3,0.04905860538993608,0.017180706121504498
classification,AFAE,methyl-accepting chemotaxis protein,3,0.04896645432176259,0.019062026156937494
classification,RLP,SpaA isopeptide-forming pilin-related protein,3,0.048866014872343856,0.03835580846142799
classification,TEV,YbaB/EbfC family nucleoid-associated protein,3,0.04834426056696497,0.035823187796142665
classification,KBB,HlyD family type I secretion periplasmic adaptor subunit,3,0.04810549881636434,0.032473476538092905
classification,APHX,type IV conjugative transfer system pilin TraA,3,0.04783757050446865,0.02329825068566406
classification,ALJB,site-specific DNA-methyltransferase,3,0.04774567525502371,0.015629552929675574
classification,URY,aldose epimerase family protein,3,0.04744440478701217,0.030706995374679396
classification,AOVH,type II toxin-antitoxin system VapC family toxin,3,0.04737194250081392,0.015257367610242399
classification,AEWE,metal-sensing transcriptional repressor,3,0.047270877193830295,0.024615870646291366
classification,AXT,AzlC family ABC transporter permease,3,0.04697469936552027,0.022515256392059063
classification,AOWB,type II toxin-antitoxin system antitoxin PemI,3,0.04696981548388383,0.03456713597280095
classification,AEJT,lysozyme inhibitor LprI family protein,3,0.046763900198931264,0.009405218431865724
classification,CPB,DNA topoisomerase,3,0.04670354430600455,0.001971064958263081
classification,WBJ,bacteriocin immunity protein,3,0.046686528522669433,0.001373726739196666
classification,QEH,RHS repeat-associated core domain-containing protein,3,0.046374509973910315,0.007458679384015859
classification,AGBB,nitroreductase family protein,3,0.046282669220948536,0.025518347927551165
classification,AAUD,fertility inhibition protein FinO,3,0.04616631052935935,0.029972101937583106
classification,AAWC,fimbrial chaperone,3,0.046154446901043804,0.020041747505006695
classification,MWZ,KxYKxGKxW signal peptide domain-containing protein,3,0.04602045841418196,0.03172392331225916
classification,BS,1-acyl-sn-glycerol-3-phosphate acyltransferase,3,0.04580174320600053,0.035180082159271826
classification,AEKK,lytic transglycosylase domain-containing protein,3,0.04549356007515903,0.006863233049235249
classification,AOOU,type I secretion system permease/ATPase,3,0.04539027604884893,0.027324934779300432
